first,second,first_origin,second_origin,outcome,motif,sound,intensity,first_potency,second_potency,first_duration,second_duration,first_range,second_range,replacement_aspect,blocks_first,blocks_second,mechanics
amethyst_block,amethyst_block,AMETHYST,AMETHYST,RESONATE,sealed_resonance,crystal_resonate,2,0.850,0.850,0.850,0.850,1.000,1.000,,false,false,Suppression fields reinforce while slightly damping one another.
amethyst_block,amethyst_item,AMETHYST,AMETHYST,RESONATE,sealed_resonance,crystal_resonate,2,0.850,0.850,0.850,0.850,1.000,1.000,,false,false,Suppression fields reinforce while slightly damping one another.
amethyst_block,amethyst_ward,AMETHYST,AMETHYST,RESONATE,sealed_resonance,crystal_resonate,2,0.850,0.850,0.850,0.850,1.000,1.000,,false,false,Suppression fields reinforce while slightly damping one another.
amethyst_block,anti_portal_field,AMETHYST,SPELL,RESONATE,sealed_resonance,crystal_resonate,2,0.850,0.850,0.850,0.850,1.000,1.000,,false,false,Suppression fields reinforce while slightly damping one another.
amethyst_block,astral_projection,AMETHYST,INNATE,CANCEL,amethyst_grounding,amethyst_fracture,4,1.000,0.000,1.000,0.000,1.000,0.000,,false,true,Anchored amethyst overcomes the incoming magical presence.
amethyst_block,banish_darkness,AMETHYST,ARTIFACT,RESONATE,sealed_resonance,crystal_resonate,2,0.850,0.850,0.850,0.850,1.000,1.000,,false,false,Suppression fields reinforce while slightly damping one another.
amethyst_block,banishment_circle,AMETHYST,SPELL,RESONATE,sealed_resonance,crystal_resonate,2,0.850,0.850,0.850,0.850,1.000,1.000,,false,false,Suppression fields reinforce while slightly damping one another.
amethyst_block,binding_sigil,AMETHYST,SPELL,RESONATE,sealed_resonance,crystal_resonate,2,0.850,0.850,0.850,0.850,1.000,1.000,,false,false,Suppression fields reinforce while slightly damping one another.
amethyst_block,blight_ground,AMETHYST,ARTIFACT,CANCEL,amethyst_grounding,amethyst_fracture,4,1.000,0.000,1.000,0.000,1.000,0.000,,false,true,Anchored amethyst overcomes the incoming magical presence.
amethyst_block,breezy_bash,AMETHYST,INNATE,CANCEL,amethyst_grounding,amethyst_fracture,4,1.000,0.000,1.000,0.000,1.000,0.000,,false,true,Anchored amethyst overcomes the incoming magical presence.
amethyst_block,call_hollowed,AMETHYST,ARTIFACT,CANCEL,amethyst_grounding,amethyst_fracture,4,1.000,0.000,1.000,0.000,1.000,0.000,,false,true,Anchored amethyst overcomes the incoming magical presence.
amethyst_block,call_radiant,AMETHYST,ARTIFACT,CANCEL,amethyst_grounding,amethyst_fracture,4,1.000,0.000,1.000,0.000,1.000,0.000,,false,true,Anchored amethyst overcomes the incoming magical presence.
amethyst_block,celestial_ruin,AMETHYST,SPELL,CANCEL,amethyst_grounding,amethyst_fracture,4,1.000,0.000,1.000,0.000,1.000,0.000,,false,true,Anchored amethyst overcomes the incoming magical presence.
amethyst_block,chrono_stop,AMETHYST,CRYSTAL,CANCEL,amethyst_grounding,amethyst_fracture,4,1.000,0.000,1.000,0.000,1.000,0.000,,false,true,Anchored amethyst overcomes the incoming magical presence.
amethyst_block,clone_swarm,AMETHYST,CRYSTAL,CANCEL,amethyst_grounding,amethyst_fracture,4,1.000,0.000,1.000,0.000,1.000,0.000,,false,true,Anchored amethyst overcomes the incoming magical presence.
amethyst_block,concealment_veil,AMETHYST,SPELL,CANCEL,amethyst_grounding,amethyst_fracture,4,1.000,0.000,1.000,0.000,1.000,0.000,,false,true,Anchored amethyst overcomes the incoming magical presence.
amethyst_block,consecrate_ground,AMETHYST,ARTIFACT,CANCEL,amethyst_grounding,amethyst_fracture,4,1.000,0.000,1.000,0.000,1.000,0.000,,false,true,Anchored amethyst overcomes the incoming magical presence.
amethyst_block,controlled_hellfire,AMETHYST,SPELL,CANCEL,amethyst_grounding,amethyst_fracture,4,1.000,0.000,1.000,0.000,1.000,0.000,,false,true,Anchored amethyst overcomes the incoming magical presence.
amethyst_block,counterspell,AMETHYST,SPELL,RESONATE,sealed_resonance,crystal_resonate,2,0.850,0.850,0.850,0.850,1.000,1.000,,false,false,Suppression fields reinforce while slightly damping one another.
amethyst_block,covenant_chain,AMETHYST,ARTIFACT,CANCEL,amethyst_grounding,amethyst_fracture,4,1.000,0.000,1.000,0.000,1.000,0.000,,false,true,Anchored amethyst overcomes the incoming magical presence.
amethyst_block,cozy_campfire,AMETHYST,INNATE,CANCEL,amethyst_grounding,amethyst_fracture,4,1.000,0.000,1.000,0.000,1.000,0.000,,false,true,Anchored amethyst overcomes the incoming magical presence.
amethyst_block,creativity_manifestation,AMETHYST,CRYSTAL,CANCEL,amethyst_grounding,amethyst_fracture,4,1.000,0.000,1.000,0.000,1.000,0.000,,false,true,Anchored amethyst overcomes the incoming magical presence.
amethyst_block,dark_crystal,AMETHYST,CRYSTAL,CANCEL,amethyst_grounding,amethyst_fracture,4,1.000,0.000,1.000,0.000,1.000,0.000,,false,true,Anchored amethyst overcomes the incoming magical presence.
amethyst_block,darkness_block,AMETHYST,REALM,CANCEL,amethyst_grounding,amethyst_fracture,4,1.000,0.000,1.000,0.000,1.000,0.000,,false,true,Anchored amethyst overcomes the incoming magical presence.
amethyst_block,dawnstride,AMETHYST,ARTIFACT,CANCEL,amethyst_grounding,amethyst_fracture,4,1.000,0.000,1.000,0.000,1.000,0.000,,false,true,Anchored amethyst overcomes the incoming magical presence.
amethyst_block,daybreak_wave,AMETHYST,ARTIFACT,CANCEL,amethyst_grounding,amethyst_fracture,4,1.000,0.000,1.000,0.000,1.000,0.000,,false,true,Anchored amethyst overcomes the incoming magical presence.
amethyst_block,dimensional_anchor,AMETHYST,SPELL,RESONATE,sealed_resonance,crystal_resonate,2,0.850,0.850,0.850,0.850,1.000,1.000,,false,false,Suppression fields reinforce while slightly damping one another.
amethyst_block,dispel,AMETHYST,SPELL,RESONATE,sealed_resonance,crystal_resonate,2,0.850,0.850,0.850,0.850,1.000,1.000,,false,false,Suppression fields reinforce while slightly damping one another.
amethyst_block,divine_decree,AMETHYST,ARTIFACT,CANCEL,amethyst_grounding,amethyst_fracture,4,1.000,0.000,1.000,0.000,1.000,0.000,,false,true,Anchored amethyst overcomes the incoming magical presence.
amethyst_block,double_health,AMETHYST,INNATE,CANCEL,amethyst_grounding,amethyst_fracture,4,1.000,0.000,1.000,0.000,1.000,0.000,,false,true,Anchored amethyst overcomes the incoming magical presence.
