
 Version: 2.1
 Chunks: 1
 Start: 2026-08-14 08:27:20 (UTC)
 Duration: 1800 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.Checkpoint                           1899        191570
 minecraft.ClientFps                      1788         25032
 minecraft.ServerTickTime                 1788         29530
 jdk.CPULoad                              1787         35740
 minecraft.NetworkSummary                 1780         78304
 jdk.GarbageCollection                     250          6195
 jdk.JavaMonitorWait                        88          2493
 jdk.Metadata                                1        119271
 io.netty.AllocateBuffer                     0             0
 io.netty.AllocateChunk                      0             0
 io.netty.FreeBuffer                         0             0
 io.netty.ReallocateBuffer                   0             0
 jdk.ActiveRecording                         0             0
 jdk.ActiveSetting                           0             0
 jdk.AllocationRequiringGC                   0             0
 jdk.BooleanFlag                             0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.CPUInformation                          0             0
 jdk.CPUTimeSample                           0             0
 jdk.CPUTimeSamplesLost                      0             0
 jdk.CPUTimeStampCounter                     0             0
 jdk.ClassDefine                             0             0
 jdk.ClassLoad                               0             0
 jdk.ClassLoaderStatistics                   0             0
 jdk.ClassLoadingStatistics                  0             0
 jdk.ClassRedefinition                       0             0
 jdk.ClassUnload                             0             0
 jdk.CodeCacheConfiguration                  0             0
 jdk.CodeCacheFull                           0             0
 jdk.CodeCacheStatistics                     0             0
 jdk.Compilation                             0             0
 jdk.CompilationFailure                      0             0
 jdk.CompilerConfiguration                   0             0
 jdk.CompilerInlining                        0             0
 jdk.CompilerPhase                           0             0
 jdk.CompilerQueueUtilization                0             0
 jdk.CompilerStatistics                      0             0
 jdk.ConcurrentModeFailure                   0             0
 jdk.ContainerCPUThrottling                  0             0
 jdk.ContainerCPUUsage                       0             0
 jdk.ContainerConfiguration                  0             0
 jdk.ContainerIOUsage                        0             0
 jdk.ContainerMemoryUsage                    0             0
 jdk.ContinuationFreeze                      0             0
 jdk.ContinuationFreezeFast                  0             0
 jdk.ContinuationFreezeSlow                  0             0
 jdk.ContinuationThaw                        0             0
 jdk.ContinuationThawFast                    0             0
 jdk.ContinuationThawSlow                    0             0
 jdk.DataLoss                                0             0
 jdk.Deoptimization                          0             0
 jdk.DeprecatedInvocation                    0             0
 jdk.Deserialization                         0             0
 jdk.DirectBufferStatistics                  0             0
 jdk.DoubleFlag                              0             0
 jdk.DoubleFlagChanged                       0             0
 jdk.DumpReason                              0             0
 jdk.EvacuationFailed                        0             0
 jdk.EvacuationInformation                   0             0
 jdk.ExceptionStatistics                     0             0
 jdk.ExecuteVMOperation                      0             0
 jdk.ExecutionSample                         0             0
 jdk.FileForce                               0             0
 jdk.FileRead                                0             0
 jdk.FileWrite                               0             0
 jdk.FinalizerStatistics                     0             0
 jdk.Flush                                   0             0
 jdk.G1AdaptiveIHOP                          0             0
 jdk.G1BasicIHOP                             0             0
 jdk.G1EvacuationOldStatistics               0             0
 jdk.G1EvacuationYoungStatistics             0             0
 jdk.G1GarbageCollection                     0             0
 jdk.G1HeapRegionInformation                 0             0
 jdk.G1HeapRegionTypeChange                  0             0
 jdk.G1HeapSummary                           0             0
 jdk.G1MMU                                   0             0
 jdk.GCCPUTime                               0             0
 jdk.GCConfiguration                         0             0
 jdk.GCHeapConfiguration                     0             0
 jdk.GCHeapMemoryPoolUsage                   0             0
 jdk.GCHeapMemoryUsage                       0             0
 jdk.GCHeapSummary                           0             0
 jdk.GCPhaseConcurrent                       0             0
 jdk.GCPhaseConcurrentLevel1                 0             0
 jdk.GCPhaseConcurrentLevel2                 0             0
 jdk.GCPhaseParallel                         0             0
 jdk.GCPhasePause                            0             0
 jdk.GCPhasePauseLevel1                      0             0
 jdk.GCPhasePauseLevel2                      0             0
 jdk.GCPhasePauseLevel3                      0             0
 jdk.GCPhasePauseLevel4                      0             0
 jdk.GCReferenceStatistics                   0             0
 jdk.GCSurvivorConfiguration                 0             0
 jdk.GCTLABConfiguration                     0             0
 jdk.HeapDump                                0             0
 jdk.InitialEnvironmentVariable              0             0
 jdk.InitialSecurityProperty                 0             0
 jdk.InitialSystemProperty                   0             0
 jdk.IntFlag                                 0             0
 jdk.IntFlagChanged                          0             0
 jdk.JITRestart                              0             0
 jdk.JVMInformation                          0             0
 jdk.JavaAgent                               0             0
 jdk.JavaErrorThrow                          0             0
 jdk.JavaExceptionThrow                      0             0
 jdk.JavaMonitorDeflate                      0             0
 jdk.JavaMonitorEnter                        0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.JavaMonitorNotify                       0             0
 jdk.JavaMonitorStatistics                   0             0
 jdk.JavaThreadStatistics                    0             0
 jdk.LongFlag                                0             0
 jdk.LongFlagChanged                         0             0
 jdk.MetaspaceAllocationFailure              0             0
 jdk.MetaspaceChunkFreeListSummary           0             0
 jdk.MetaspaceGCThreshold                    0             0
 jdk.MetaspaceOOM                            0             0
 jdk.MetaspaceSummary                        0             0
 jdk.MethodTiming                            0             0
 jdk.MethodTrace                             0             0
 jdk.ModuleExport                            0             0
 jdk.ModuleRequire                           0             0
 jdk.NativeAgent                             0             0
 jdk.NativeLibrary                           0             0
 jdk.NativeLibraryLoad                       0             0
 jdk.NativeLibraryUnload                     0             0
 jdk.NativeMemoryUsage                       0             0
 jdk.NativeMemoryUsageTotal                  0             0
 jdk.NativeMethodSample                      0             0
 jdk.NetworkUtilization                      0             0
 jdk.OSInformation                           0             0
 jdk.ObjectAllocationInNewTLAB               0             0
 jdk.ObjectAllocationOutsideTLAB             0             0
 jdk.ObjectAllocationSample                  0             0
 jdk.ObjectCount                             0             0
 jdk.ObjectCountAfterGC                      0             0
 jdk.OldGarbageCollection                    0             0
 jdk.OldObjectSample                         0             0
 jdk.PSHeapSummary                           0             0
