capture_id	screenshot	sha256
model/item/solstice/gui	0024_vfx011-items-evidence-gui-mip4-normal-page04.png	764548a94b4f909c048b3e29c0b033a460330920f83711dfbc7b487d512187d9
model/item/solstice/firstperson_righthand	0039_vfx011-items-evidence-firstperson_righthand-mip4-normal-page04.png	247e3200ed3d1ef9a21b900545ec66ebfd05103b2ea45ca9af7b83fabe5b74a8
model/item/solstice/thirdperson_righthand	0049_vfx011-items-evidence-thirdperson_righthand-mip4-normal-page04.png	012efc47fc748c9c52add395ac39ee11fba5c4de5913744f6abdf3591242b816
item/light_herald_spawn_egg/gui	0025_vfx011-items-evidence-gui-mip4-normal-page05.png	188483fa902b83b9f7e153e4af23bdd2f16f0e6bd0dd51cb191cfab0a3a17333
entity/light_herald/front	0472_vfx011-entities-front.png	5128baf34a3a201be2212ae6e6d1fb2c24e3a965139dab9d6f6ad1b21239c77d
entity/dark_herald/front	0472_vfx011-entities-front.png	5128baf34a3a201be2212ae6e6d1fb2c24e3a965139dab9d6f6ad1b21239c77d
entity/first_vessel/front	0472_vfx011-entities-front.png	5128baf34a3a201be2212ae6e6d1fb2c24e3a965139dab9d6f6ad1b21239c77d
entity/radiant_sentinel/front	0472_vfx011-entities-front.png	5128baf34a3a201be2212ae6e6d1fb2c24e3a965139dab9d6f6ad1b21239c77d
entity/shadow/wide/overlay/front	0472_vfx011-entities-front.png	5128baf34a3a201be2212ae6e6d1fb2c24e3a965139dab9d6f6ad1b21239c77d
entity/shadow/slim/overlay/front	0472_vfx011-entities-front.png	5128baf34a3a201be2212ae6e6d1fb2c24e3a965139dab9d6f6ad1b21239c77d
screen/artifact_catalogue/selected/scale4/normal/wide	0738_vfx011-screen-artifact_catalogue-selected-scale4-normal-wide.png	95a928dda40cdbc14cb4bd9cef01083ca5d19bf7a86f722b8d406c9915781512
screen/grimoire_index/preview/scale4/normal/wide	0741_vfx011-screen-grimoire_index-preview-scale4-normal-wide.png	b0ccfdf98d228606f7dbbbce117f77d96f3d98881a168437a2d90d1a5792c374
screen/artifact_catalogue/hover/scale2/normal/wide	0799_vfx011-screen-artifact_catalogue-hover-scale2-normal-wide.png	d8b5b5b0dd2153eef3bbc0ce40d23f73291e9d10fa7e897940a786ea1c80fb41
hud/energy/normal/half10/normal	0812_vfx011-hud-energy-normal-half10-normal.png	aae37ce9727c13277f9b41050e61decabd177e6550c3ba64dc59116d47bc0bc1
hud/combination/vanilla_mount/normal	0892_vfx011-hud-combination-vanilla_mount-normal.png	899127f672661bb609124baf7fb235d2c5171d1f6d274f0bba53cc436df993a2
gameplay/first_person/solstice	0985_vfx011-gameplay-first_person-solstice.png	6d21dd92a8825ff378c942ebead8c258d67935797ec484225544950dfa5cacf9
gameplay/third_person/solstice	0986_vfx011-gameplay-third_person-solstice.png	7fa87e80e8e59954d1f3ebecfdd2ec9ec729a72db0f6b63ebb13172cab196f92
boss/light_herald/progress72	0987_vfx011-boss-light_herald-progress72.png	0bece1fcde04b46ec15c1d8e245683294a8a0e9e428b0f99be9b18af8d1a387f
boss/dark_herald/progress38	0988_vfx011-boss-dark_herald-progress38.png	102be7ece319c663225a1c7a39b9a785f98a55526d5c54f9abf3610076009780
boss/first_vessel/last_covenant/progress14	0991_vfx011-boss-first_vessel-last_covenant-progress14.png	2b61f67b12a9b89debcace105576baf237a3e7ac7b31d137d4047a75368c9f87
