capture_id	screenshot	page	slot	x	y	width	height	sha256
model/item/amethyst_greatblade/gui	0053_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cc92403f7e2a4020bbc645ea52605cd8502ada27acad6bfc54076fb208d0b40b
model/item/amethyst_greatpick/gui	0053_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cc92403f7e2a4020bbc645ea52605cd8502ada27acad6bfc54076fb208d0b40b
model/item/amethyst_greatshovel/gui	0053_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cc92403f7e2a4020bbc645ea52605cd8502ada27acad6bfc54076fb208d0b40b
model/item/ancient_greatslab/gui	0053_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cc92403f7e2a4020bbc645ea52605cd8502ada27acad6bfc54076fb208d0b40b
model/item/azure_dagger/gui	0053_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cc92403f7e2a4020bbc645ea52605cd8502ada27acad6bfc54076fb208d0b40b
model/item/azure_greataxe/gui	0053_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cc92403f7e2a4020bbc645ea52605cd8502ada27acad6bfc54076fb208d0b40b
model/item/azure_greatsword/gui	0053_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cc92403f7e2a4020bbc645ea52605cd8502ada27acad6bfc54076fb208d0b40b
model/item/azure_pickaxe/gui	0053_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cc92403f7e2a4020bbc645ea52605cd8502ada27acad6bfc54076fb208d0b40b
model/item/azure_sabre/gui	0053_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cc92403f7e2a4020bbc645ea52605cd8502ada27acad6bfc54076fb208d0b40b
model/item/azure_scythe/gui	0053_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cc92403f7e2a4020bbc645ea52605cd8502ada27acad6bfc54076fb208d0b40b
model/item/azure_shovel/gui	0053_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cc92403f7e2a4020bbc645ea52605cd8502ada27acad6bfc54076fb208d0b40b
model/item/berserkers_cleaver/gui	0053_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cc92403f7e2a4020bbc645ea52605cd8502ada27acad6bfc54076fb208d0b40b
model/item/berserkers_greataxe/gui	0053_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cc92403f7e2a4020bbc645ea52605cd8502ada27acad6bfc54076fb208d0b40b
model/item/black_iron_clobberer/gui	0053_vfx011-items-evidence-gui-mip4-normal-page01.png	client-000.png	0	0	0	256	164	cc92403f7e2a4020bbc645ea52605cd8502ada27acad6bfc54076fb208d0b40b
