kind	source	page	tile_or_slot	bounds	verdict	notes
asset_source	blockstates/amethyst_ward.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	blockstates/arcane_crucible.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	blockstates/darkness.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	blockstates/pure_light.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	icon.png	pixels-light-000.png,pixels-dark-000.png,pixels-checker-000.png			PASS	Manually reviewed all frame/mip page locations; structural/pixel evidence only
asset_source	items/amethyst_greatblade.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/amethyst_greatpick.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/amethyst_greatshovel.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/amethyst_ward.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/ancient_greatslab.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/arcane_crucible.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/azure_dagger.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/azure_greataxe.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/azure_greatsword.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/azure_pickaxe.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/azure_sabre.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/azure_scythe.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/azure_shovel.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/berserkers_cleaver.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/berserkers_greataxe.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/black_iron_clobberer.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/black_iron_greataxe.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/black_iron_greatsword.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/blue_crystal.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/calamity_blade.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/claymore.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/crescent_greataxe.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/crimson_cleaver.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/crystal_frostblade.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/crystal_frostscythe.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/dark_crystal.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/dark_herald_spawn_egg.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/darkness.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/darkness_creature_spawn_egg.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/demonic_sword.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/demons_blood_blade.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/demons_blood_pick.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/demons_blood_shovel.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/demonslayers_greatsword.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/dragon_sword.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/emerald_greatcleaver.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/ethereal_frostblade.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/first_vessel_spawn_egg.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
asset_source	items/flamberge.json				PASS	Manually accepted resolved graph/schema contract; no pixel surface applies
