runtime	capture_id	png_sha256	mode	upward_sky	mode_specific_silhouette	tonal_separation	fallback_absence	safety_readability	verdict
normal	vfx009/normal/clear/distance4	b8638069e6d99c4b48d8556fad9d99c62809483056ff7fedfed5c2dc969866bb	ANCIENT_WHITE	PASS-dominant-upward-field	PASS-large-radial-rune-halo	PASS-visible-warm-white-gold	N/A-enhanced	PASS-no-void-celestials-seam-clipping-glare-or-HUD-loss	PASS
normal	vfx009/normal/clear/distance12	940c044fb3722c9f481c1fb0c1588a0446949b4a95f68573322a38d4120b96c3	ANCIENT_WHITE	PASS-dominant-upward-field	PASS-large-radial-rune-halo	PASS-visible-warm-white-gold	N/A-enhanced	PASS-no-void-celestials-seam-clipping-glare-or-HUD-loss	PASS
normal	vfx009/normal/clear/distance24	4a4cf443c4da634272f287404bbcb296deca91c109c46a4cd2dfe236221334e1	ANCIENT_WHITE	PASS-dominant-upward-field	PASS-large-radial-rune-halo	PASS-visible-warm-white-gold	N/A-enhanced	PASS-no-void-celestials-seam-clipping-glare-or-HUD-loss	PASS
normal	vfx009/normal/rain/distance12	4a23a0a70fe5d26596eef63433b27623a3da6c9b28d387e8a011f7136d120920	ANCIENT_WHITE	PASS-dominant-upward-field	PASS-large-radial-rune-halo	PASS-visible-warm-white-gold	N/A-enhanced	PASS-no-void-celestials-seam-clipping-glare-or-HUD-loss	PASS
normal	vfx009/normal/post_reload/distance12	3e3e9bd83fbf279d710c680390d05c25e7288f7e9273a63f0b4f3401cc20099d	ANCIENT_WHITE	PASS-dominant-upward-field	PASS-large-radial-rune-halo	PASS-visible-warm-white-gold	N/A-enhanced	PASS-no-void-celestials-seam-clipping-glare-or-HUD-loss	PASS
normal	vfx009/reduced/clear/distance4	57c685cd910cd30ac92ddb6ce4bcd3f5eaa2dd5f4ced25d9a0ed468b10253df0	ANCIENT_WHITE_REDUCED	PASS-dominant-upward-field	PASS-large-static-two-layer-silhouette	PASS-lower-contrast-warm-white-gold	N/A-enhanced	PASS-no-void-celestials-seam-clipping-glare-or-HUD-loss	PASS
normal	vfx009/reduced/clear/distance12	eb01c5b1b81e9f099bcfb1cba8f550dffa4038e6876cf15606f5b58cb12852af	ANCIENT_WHITE_REDUCED	PASS-dominant-upward-field	PASS-large-static-two-layer-silhouette	PASS-lower-contrast-warm-white-gold	N/A-enhanced	PASS-no-void-celestials-seam-clipping-glare-or-HUD-loss	PASS
normal	vfx009/reduced/clear/distance24	a743bd4162e0e192ffea190adfcec38308008757010800defbe193824a95b6be	ANCIENT_WHITE_REDUCED	PASS-dominant-upward-field	PASS-large-static-two-layer-silhouette	PASS-lower-contrast-warm-white-gold	N/A-enhanced	PASS-no-void-celestials-seam-clipping-glare-or-HUD-loss	PASS
normal	vfx009/fallback/clear/distance12	d960dde3008b50019d11b02145d7d456ea1f696faac4e02a0de0cec0b874b0cf	STATIC_WHITE	PASS-dominant-upward-field	N/A-static-white	N/A-static-white	PASS-no-enhanced-silhouettes	PASS-no-void-celestials-seam-clipping-glare-or-HUD-loss	PASS
sodium-0.9.1	vfx009/normal/clear/distance4	b7d9e18db0e1df08f7d6a8274aaa07137b0cb8afa949d72fe440cb399d9dd41c	ANCIENT_WHITE	PASS-dominant-upward-field	PASS-large-radial-rune-halo	PASS-visible-warm-white-gold	N/A-enhanced	PASS-no-void-celestials-seam-clipping-glare-or-HUD-loss	PASS
sodium-0.9.1	vfx009/normal/clear/distance12	7d981710a3e4e7a541847c7d65df0f9652d615aa6f284ab0560f4bff9c03e2e0	ANCIENT_WHITE	PASS-dominant-upward-field	PASS-large-radial-rune-halo	PASS-visible-warm-white-gold	N/A-enhanced	PASS-no-void-celestials-seam-clipping-glare-or-HUD-loss	PASS
sodium-0.9.1	vfx009/normal/clear/distance24	ede1e12929bfa6af02bbb6b296dcb4cb91e381d25af0d7c3e019c1a534e42c1e	ANCIENT_WHITE	PASS-dominant-upward-field	PASS-large-radial-rune-halo	PASS-visible-warm-white-gold	N/A-enhanced	PASS-no-void-celestials-seam-clipping-glare-or-HUD-loss	PASS
sodium-0.9.1	vfx009/normal/rain/distance12	e67e0d2829265f4b9e39c74a83d6770121bdb112e5f9c3e7ad9749177d15ef61	ANCIENT_WHITE	PASS-dominant-upward-field	PASS-large-radial-rune-halo	PASS-visible-warm-white-gold	N/A-enhanced	PASS-no-void-celestials-seam-clipping-glare-or-HUD-loss	PASS
sodium-0.9.1	vfx009/normal/post_reload/distance12	acdbcd51e76d0016f0c546e4e4dd4221f1e27a708052af8633de9ebf2eab00b0	ANCIENT_WHITE	PASS-dominant-upward-field	PASS-large-radial-rune-halo	PASS-visible-warm-white-gold	N/A-enhanced	PASS-no-void-celestials-seam-clipping-glare-or-HUD-loss	PASS
sodium-0.9.1	vfx009/reduced/clear/distance4	0a86c02a88a1ab01e6f8797e848dbdbca1afd9210e79ca0e7bcbf1a1b7832ce3	ANCIENT_WHITE_REDUCED	PASS-dominant-upward-field	PASS-large-static-two-layer-silhouette	PASS-lower-contrast-warm-white-gold	N/A-enhanced	PASS-no-void-celestials-seam-clipping-glare-or-HUD-loss	PASS
sodium-0.9.1	vfx009/reduced/clear/distance12	c277970a7b22193111f3e5008f9cd188af855c9026204bf436ff2870e3c83591	ANCIENT_WHITE_REDUCED	PASS-dominant-upward-field	PASS-large-static-two-layer-silhouette	PASS-lower-contrast-warm-white-gold	N/A-enhanced	PASS-no-void-celestials-seam-clipping-glare-or-HUD-loss	PASS
sodium-0.9.1	vfx009/reduced/clear/distance24	ea5c922d1f2d30c941567ed8ec28f6b1b32b1f53cef149bb2cae976cfe8d4c47	ANCIENT_WHITE_REDUCED	PASS-dominant-upward-field	PASS-large-static-two-layer-silhouette	PASS-lower-contrast-warm-white-gold	N/A-enhanced	PASS-no-void-celestials-seam-clipping-glare-or-HUD-loss	PASS
sodium-0.9.1	vfx009/fallback/clear/distance12	c2b5432fbb68c7e8ba7d59c68014b659901d737f8c2c4aa4a420a7f7b03760a1	STATIC_WHITE	PASS-dominant-upward-field	N/A-static-white	N/A-static-white	PASS-no-enhanced-silhouettes	PASS-no-void-celestials-seam-clipping-glare-or-HUD-loss	PASS
